
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1003.8","1003.6","1003.0","1001.9","1002.6","1003.2","1003.9","1004.7","1004.4","1004.3","1004.5","1003.4","1002.7","1003.8","1003.2","1002.8","1003.3","1003.4","1003.9","1004.5","1004.5","1005.4","1006.0","1006.4","1003.9"
"02","1006.1","1005.5","1003.5","1005.4","1004.8","1004.9","1005.8","1006.6","1006.7","1007.6","1007.0","1006.7","1005.9","1005.0","1005.3","1005.8","1005.4","1008.0","1008.5","1008.6","1008.8","1008.6","1008.7","1008.4","1006.6"
"03","1007.8","1006.9","1007.2","1006.8","1006.0","1006.4","1007.8","1008.5","1009.3","1009.7","1009.0","1008.3","1007.7","1007.2","1007.1","1007.6","1008.3","1008.4","1008.8","1009.7","1010.1","1010.2","1009.9","1009.5","1008.3"
"04","1009.1","1008.9","1008.9","1008.7","1008.9","1009.5","1009.8","1010.2","1011.1","1011.7","1011.3","1010.4","1010.1","1009.7","1009.5","1009.4","1009.7","1009.9","1010.5","1011.4","1011.6","1011.3","1011.1","1011.0","1010.2"
"05","1011.1","1010.5","1010.0","1009.9","1010.4","1011.1","1011.4","1011.9","1011.9","1011.6","1011.5","1010.8","1010.4","1010.0","1010.2","1010.4","1010.8","1011.3","1011.5","1012.0","1012.4","1012.6","1012.7","1012.2","1011.2"
"06","1011.6","1011.2","1010.9","1010.4","1010.7","1011.4","1011.9","1012.3","1012.7","1012.6","1012.2","1011.6","1010.9","1010.4","1010.2","1010.3","1010.6","1011.0","1011.5","1012.1","1012.7","1013.0","1012.8","1012.3","1011.6"
"07","1011.9","1011.3","1010.9","1010.9","1011.1","1011.7","1012.4","1012.7","1012.8","1012.6","1012.1","1011.4","1010.8","1010.4","1010.3","1010.8","1011.1","1011.5","1012.0","1012.8","1013.0","1013.0","1012.5","1012.1","1011.8"
"08","1011.9","1011.2","1010.9","1010.7","1010.7","1011.4","1012.1","1012.3","1012.3","1012.6","1011.9","1011.4","1011.0","1010.6","1010.8","1011.0","1011.3","1011.6","1011.9","1012.8","1012.8","1013.1","1012.8","1012.3","1011.7"
"09","1011.8","1011.2","1010.8","1010.7","1010.7","1011.4","1011.8","1011.8","1012.3","1012.4","1011.9","1011.3","1010.9","1010.3","1010.0","1010.1","1010.3","1010.3","1010.8","1011.2","1011.6","1011.6","1011.5","1011.1","1011.2"
"10","1010.6","1010.1","1010.1","1010.4","1010.7","1011.1","1011.8","1012.3","1012.4","1012.1","1011.5","1010.8","1010.4","1010.0","1010.0","1010.8","1011.1","1011.5","1011.9","1012.4","1012.7","1012.6","1012.7","1012.2","1011.3"
"11","1011.5","1011.2","1011.4","1011.5","1011.8","1012.2","1012.8","1013.1","1013.3","1013.2","1012.7","1012.2","1011.7","1011.5","1011.5","1012.0","1012.5","1012.9","1013.6","1014.2","1014.7","1014.7","1014.5","1014.0","1012.7"
"12","1013.3","1012.9","1013.1","1013.2","1013.4","1013.8","1014.5","1015.0","1015.2","1015.1","1014.5","1013.8","1013.1","1012.8","1012.9","1013.0","1013.4","1013.7","1013.8","1014.4","1014.7","1014.5","1014.1","1014.0","1013.8"
"13","1013.5","1012.8","1012.7","1012.8","1013.2","1013.4","1014.0","1014.5","1014.6","1014.7","1014.4","1013.6","1012.7","1012.0","1011.7","1011.9","1012.2","1012.6","1013.0","1013.4","1013.7","1013.6","1013.5","1012.9","1013.2"
"14","1012.4","1012.1","1011.9","1011.4","1011.3","1012.3","1012.9","1013.1","1013.2","1013.1","1012.3","1011.3","1010.6","1010.3","1010.2","1010.6","1011.2","1011.4","1012.2","1012.6","1012.9","1013.0","1012.9","1012.6","1012.0"
"15","1012.3","1011.5","1011.1","1010.4","1011.0","1011.5","1012.2","1013.0","1013.0","1013.0","1012.4","1011.9","1011.4","1011.1","1011.1","1011.3","1011.9","1012.2","1012.9","1013.4","1013.8","1014.0","1013.8","1013.4","1012.2"
"16","1012.8","1012.5","1012.4","1012.3","1012.6","1013.3","1013.7","1014.3","1014.5","1014.3","1013.6","1012.8","1012.2","1011.7","1011.5","1011.7","1012.2","1012.5","1013.3","1014.1","1014.3","1014.1","1013.9","1013.7","1013.1"
"17","1013.1","1012.3","1011.9","1011.7","1011.9","1012.7","1012.9","1013.3","1013.6","1013.4","1012.6","1011.8","1011.0","1010.2","1010.1","1010.2","1010.5","1010.8","1011.6","1012.3","1012.4","1012.5","1012.6","1012.4","1012.0"
"18","1011.6","1011.2","1011.0","1011.0","1010.9","1011.4","1011.6","1012.0","1012.2","1012.4","1011.7","1011.0","1010.3","1010.0","1009.8","1009.9","1010.4","1010.8","1011.3","1011.9","1012.2","1012.2","1012.3","1012.0","1011.3"
"19","1011.5","1011.5","1011.1","1011.1","1011.9","1011.9","1012.9","1013.3","1013.2","1012.9","1012.4","1011.9","1011.4","1011.3","1011.5","1012.2","1012.8","1013.2","1013.8","1014.5","1014.7","1015.0","1015.7","1015.0","1012.8"
"20","1014.5","1014.7","1014.1","1014.5","1015.0","1015.8","1016.4","1016.8","1017.1","1017.2","1016.5","1016.0","1015.0","1014.6","1014.5","1014.6","1014.9","1015.3","1015.5","1015.9","1016.1","1016.0","1015.7","1015.0","1015.5"
"21","1014.3","1014.2","1013.9","1013.9","1013.9","1014.2","1014.5","1014.9","1015.0","1014.6","1013.9","1012.9","1012.3","1011.5","1011.4","1011.6","1011.8","1012.1","1013.0","1013.7","1013.9","1013.8","1013.3","1012.5","1013.4"
"22","1012.4","1011.6","1011.5","1011.5","1011.6","1012.4","1012.6","1012.8","1012.5","1012.2","1011.5","1010.8","1010.0","1009.6","1009.6","1010.1","1010.4","1010.6","1011.1","1011.3","1011.5","1011.4","1011.3","1010.8","1011.3"
"23","1010.3","1009.7","1009.3","1009.7","1009.5","1009.7","1010.3","1011.5","1011.9","1011.1","1010.1","1009.2","1008.7","1008.9","1008.5","1008.7","1009.2","1009.6","1009.8","1009.5","1009.2","1009.1","1008.6","1007.9","1009.6"
"24","1007.7","1006.7","1006.0","1005.7","1005.4","1005.8","1006.7","1007.0","1006.7","1007.0","1006.0","1005.4","1004.4","1003.9","1003.9","1004.2","1004.8","1004.9","1005.8","1006.0","1006.2","1006.6","1005.9","1005.3","1005.8"
"25","1005.1","1004.8","1004.4","1004.3","1005.1","1005.7","1005.9","1006.2","1006.8","1007.0","1006.3","1005.5","1004.8","1004.8","1004.7","1005.4","1005.8","1006.0","1006.1","1007.2","1007.5","1007.7","1007.4","1007.0","1005.9"
"26","1006.7","1006.2","1005.9","1005.5","1006.0","1006.6","1007.3","1008.1","1008.5","1008.5","1007.9","1007.5","1006.8","1006.2","1006.3","1006.7","1007.1","1007.4","1008.1","1008.7","1008.9","1009.1","1008.6","1008.5","1007.4"
"27","1008.3","1007.3","1007.1","1007.0","1007.6","1008.4","1008.8","1008.7","1008.6","1008.1","1007.4","1006.1","1005.2","1004.6","1004.7","1005.1","1005.7","1006.0","1006.4","1007.2","1007.6","1007.4","1007.3","1007.0","1007.0"
