
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1017.7","1017.3","1016.9","1016.6","1017.0","1017.8","1018.2","1018.3","1018.6","1018.5","1018.0","1017.1","1015.9","1015.3","1015.0","1015.2","1015.8","1016.1","1016.5","1016.7","1016.9","1016.7","1016.7","1016.5","1016.9"
"02","1016.0","1015.6","1015.3","1015.5","1015.8","1016.6","1017.4","1017.7","1018.0","1018.2","1017.6","1017.0","1016.6","1016.2","1016.1","1016.3","1016.8","1017.5","1018.0","1018.3","1018.4","1018.5","1018.4","1017.9","1017.1"
"03","1017.6","1017.6","1017.3","1017.3","1017.3","1017.9","1018.6","1019.0","1019.1","1019.2","1018.7","1017.7","1016.7","1016.3","1016.1","1016.2","1016.6","1017.0","1017.0","1017.4","1017.5","1017.5","1017.5","1017.0","1017.5"
"04","1016.7","1016.5","1016.3","1015.9","1015.9","1016.5","1017.1","1017.4","1017.8","1017.4","1016.5","1015.8","1014.5","1013.6","1013.0","1013.2","1014.2","1013.7","1014.3","1013.9","1014.1","1014.4","1014.5","1014.4","1015.3"
"05","1014.4","1014.6","1014.9","1015.0","1014.9","1016.4","1017.3","1018.0","1019.0","1019.7","1019.2","1018.9","1018.1","1017.8","1017.5","1017.8","1018.9","1019.4","1020.3","1020.9","1021.5","1021.4","1021.2","1021.1","1018.3"
"06","1020.6","1020.2","1019.9","1019.9","1020.2","1020.5","1020.9","1021.2","1021.1","1021.3","1020.5","1019.6","1018.5","1017.7","1017.3","1017.4","1017.9","1018.1","1018.1","1018.5","1018.6","1018.6","1018.3","1017.3","1019.3"
"07","1016.9","1016.1","1015.6","1015.0","1015.1","1015.6","1015.6","1015.9","1015.9","1015.4","1014.7","1014.0","1012.7","1012.0","1011.7","1012.1","1012.8","1013.5","1013.9","1014.7","1014.8","1015.1","1015.1","1014.5","1014.5"
"08","1014.4","1013.8","1014.1","1013.6","1014.2","1015.0","1015.8","1016.5","1017.1","1017.0","1016.2","1015.6","1014.9","1014.0","1014.1","1014.4","1015.2","1015.8","1016.3","1017.0","1017.3","1017.5","1017.5","1017.3","1015.6"
"09","1017.2","1016.7","1016.6","1016.9","1017.2","1018.0","1019.1","1019.7","1020.3","1020.4","1020.3","1019.8","1019.0","1018.5","1018.6","1019.0","1019.5","1020.0","1020.9","1021.7","1022.1","1022.2","1022.2","1022.1","1019.5"
"10","1021.8","1021.5","1021.2","1021.5","1021.8","1022.4","1023.4","1024.0","1024.7","1025.1","1024.6","1024.1","1023.3","1022.9","1022.8","1023.0","1023.5","1024.2","1024.7","1025.1","1025.6","1025.7","1025.6","1025.3","1023.7"
"11","1025.1","1024.6","1024.1","1024.0","1024.4","1025.4","1026.5","1027.1","1027.6","1027.8","1027.5","1026.8","1025.9","1025.4","1025.2","1025.2","1025.7","1025.8","1026.2","1026.6","1026.9","1026.9","1026.6","1026.4","1026.0"
